TurbulenceIntensity(%),Re_theta_Tu,Roughness_k+,Re_theta_k,MachNumber,Re_theta_M,PressureGradient_lambda,Re_theta_lambda
0.1,25118.864315095794,1.0,379.15047368623544,0.1,349.8250874562719,-0.1,420.0
0.14949494949494951,9569.656519876677,3.01010101010101,364.21018571943597,0.1797979797979798,349.4351849607033,-0.09797979797979799,418.58585858585855
0.198989898989899,4817.320311743524,5.02020202020202,349.8586144232521,0.2595959595959596,348.8246343091783,-0.09595959595959597,417.1717171717172
0.2484848484848485,2826.7031963154654,7.030303030303029,336.07256162914575,0.33939393939393936,347.9957490011614,-0.09393939393939395,415.7575757575758
0.297979797979798,1827.896615387984,9.04040404040404,322.8297432840616,0.4191919191919192,346.9516504439492,-0.09191919191919193,414.34343434343435
0.3474747474747475,1264.1080729465318,11.05050505050505,310.10875343003534,0.498989898989899,345.69623878541796,-0.08989898989898991,412.92929292929296
0.396969696969697,918.295267453154,13.060606060606059,297.8890296031727,0.5787878787878787,344.2341568972594,-0.08787878787878789,411.5151515151515
0.44646464646464656,692.6455056902603,15.07070707070707,286.150819596069,0.6585858585858586,342.5707481221449,-0.08585858585858586,410.1010101010101
0.49595959595959604,538.1816501131984,17.08080808080808,274.87514952994405,0.7383838383838384,340.7120084905113,-0.08383838383838385,408.68686868686865
0.5454545454545455,428.330937198667,19.09090909090909,264.0437931848827,0.8181818181818181,338.66453418632545,-0.08181818181818182,407.27272727272725
0.594949494949495,347.7344830211708,21.1010101010101,253.63924253860606,0.897979797979798,336.4354650949247,-0.07979797979797981,405.85858585858585
0.6444444444444445,287.0482067628229,23.11111111111111,243.64467946615258,0.9777777777777777,334.03242529927417,-0.07777777777777778,404.4444444444444
0.693939393939394,240.34124032103756,25.121212121212118,234.0439485547223,1.0575757575757576,331.46346140383446,-0.07575757575757576,403.03030303030306
0.7434343434343434,203.7125159803105,27.131313131313128,224.82153098974243,1.1373737373737374,328.7369795584794,-0.07373737373737374,401.61616161616166
0.792929292929293,174.5168200238962,29.14141414141414,215.96251946994374,1.2171717171717173,325.86168202992064,-0.07171717171717172,400.2020202020202
0.8424242424242425,150.91275431453636,31.15151515151515,207.4525941108985,1.296969696969697,322.8465041267432,-0.0696969696969697,398.7878787878788
0.891919191919192,131.58875514939004,33.16161616161616,199.2779992980715,1.3767676767676769,319.7005522286843,-0.06767676767676768,397.37373737373736
0.9414141414141415,115.59160057947973,35.17171717171717,191.42552145196785,1.4565656565656566,316.4330436037142,-0.06565656565656566,395.95959595959596
0.990909090909091,102.21599235944865,37.18181818181818,183.8824676694374,1.5363636363636364,313.053248620459,-0.06363636363636364,394.5454545454545
1.0404040404040407,90.93166174476293,39.19191919191919,176.63664520661075,1.6161616161616164,309.57043588123815,-0.061616161616161624,393.13131313131316
1.0898989898989901,81.3341626327402,41.2020202020202,169.67634177030263,1.6959595959595961,305.99382071510416,-0.059595959595959605,391.71717171717177
