sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
6520,cone,9.914386645793314,35228.774754269005,216.65,0.009995534216147356,1.4215474148823518e-05,2925.459186515804,10.82476834055505,0.03723608708043737,41.42840125280994,7.921452478864261,1.1282112782573852,288.66245458884595,1.3323907435441769,462.5710126007104,197.1330835092992,0.0005753122353426246,True,30736.51488627497,9.914386645793314,8.846821864405104,1468062.3815902884,4.2692843009934887e-05,1446756.0442044067,2893512.0884088133
6521,cone,10.414783613757416,85330.6387310808,216.65,7.787224873941205e-06,1.4215474148823518e-05,3073.112385764027,8.645986993787318,0.040438988516043314,40.226244119341494,6.116676493934429,1.5077773051316536,1085.4825264687215,5.010304760991098,1510.7449908777626,117.53870349426553,0.0006580002688373772,False,,,,,,,
6522,cone,7.254257628424936,88347.78245266831,216.65,5.06049357316085e-06,1.4215474148823518e-05,2140.529250937839,6.75987111226633,0.042966431749963015,45.544587448090155,5.398513814364134,1.0981603907428377,794.3584492894157,3.666551808397949,1645.4817450992925,91.55842362700857,0.0008740269821797481,False,,,,,,,
6523,cone,4.500205564079874,42448.11794374947,216.65,0.003563715475497563,1.4215474148823518e-05,1327.8852418200775,10.402823064604458,0.04481638592099281,5.6207659656672755,1.0318898741335398,5.508405848342539,900.2946720698975,4.155525834617574,782.4064093590351,3.3451575290518116,0.00015083345362687856,False,,,,,,,
6524,cone,9.237782435489414,66715.71115932273,216.65,0.00011124777509436201,1.4215474148823518e-05,2725.812140925882,14.41112400186799,0.04313048451361675,44.10991778372388,11.334630931305291,2.508014230967396,1023.2439369915379,4.723027634394359,1639.8933369532147,403.6125295672483,0.0006354688906719017,False,,,,,,,
6525,cone,8.587272070161092,51983.88496473122,216.65,0.0009126080787621151,1.4215474148823518e-05,2533.864661756209,5.287877837467297,0.03609658967158027,4.809100134976387,0.44510052577328263,0.39450617891246553,993.916036922449,4.58765768254073,1639.5091359848573,0.6223949887917155,0.00025388528296003396,False,,,,,,,
6526,cone,11.668955753811996,62831.19449437575,216.65,0.0001937736787811106,1.4215474148823518e-05,3443.183630680789,8.143733538698445,0.014463549638694093,29.86207191508988,4.273259966235357,4.636013226045159,729.6198837271303,3.367735443005448,1191.1290257141159,57.367840370770416,0.0007150492532789761,True,39638.47169443839,11.668955753811996,7.533303650145567,1571964.489579102,5.406066816721551e-05,1490627.421176191,2981254.842352382
6527,cone,7.574116790092024,66845.66523605882,216.65,0.0001092015277491101,1.4215474148823518e-05,2234.910775112838,9.907731765864852,0.01558871694735501,48.42731532298903,8.458653757649614,9.514967181185337,938.6699490371917,4.332656122950342,1693.9296740830762,224.77725794067223,0.0005690685553752105,False,,,,,,,
6528,cone,11.765658414920102,34522.240643421035,216.65,0.011057090089591453,1.4215474148823518e-05,3471.7178908832866,10.456224445562816,0.043876054394319484,48.12642986228911,8.881678938128646,8.160977637190369,349.5070081743474,1.6132333633710934,225.986071522113,247.8220884237651,0.0007983707813860916,False,,,,,,,
6529,cone,11.715049794990989,30493.662019050393,216.65,0.019659940560119347,1.4215474148823518e-05,3456.784697597817,11.010028661688331,0.043315717870499613,33.17288011037471,6.454180635730421,3.144251458013449,953.3201001438451,4.4002774066182555,1739.371818619961,130.8675900018553,0.00032947977849074673,False,,,,,,,
6530,cone,10.13490695278647,56842.249885374564,216.65,0.00045589129338793427,1.4215474148823518e-05,2990.5285832373993,6.6075688783357815,0.010927926511923494,28.001086050207764,3.243584767660548,6.995874164805404,284.0527853905317,1.3111137105494193,1070.028980331936,33.05220039230841,0.0007542885349296685,True,43490.043536461075,10.13490695278647,9.232308366926002,1477018.3397638968,4.349745652171147e-05,1447195.1807045774,2894390.3614091547
6531,cone,9.173529206345197,42377.60331272564,216.65,0.0035997960541283816,1.4215474148823518e-05,2706.8528037345072,7.952723768859728,0.046661126499565726,42.992433135337926,6.006021779209204,9.81192584164417,1146.648110318787,5.2926291729461665,652.6427623512741,113.3244651770172,4.578303103455084e-05,False,,,,,,,
6532,cone,6.816394438728319,65469.30482154841,216.65,0.0001329293747078601,1.4215474148823518e-05,2011.3280268481385,6.851435116446117,0.03881103820697999,40.51841799117609,4.8684238591979145,7.650562377603654,1149.2750253206896,5.304754328736162,1028.2757748641466,74.46061810069685,0.0009951859310555024,False,,,,,,,
6533,cone,11.5820236065486,83696.790416402,216.65,9.83444930023166e-06,1.4215474148823518e-05,3417.5323768109233,5.175021307893398,0.015497320162225884,36.22199846138069,3.2805385805053215,7.7281061731301515,1092.7025165874988,5.043630355815827,1768.3179997762131,33.80961083932523,0.0008041309665212552,False,,,,,,,
6534,cone,7.107051601353625,61945.691450944636,216.65,0.00021990404862606567,1.4215474148823518e-05,2097.0928549617975,6.054016442450059,0.005930665084393397,28.132127795139315,2.9836234082450326,4.769410259797086,603.0896929888634,2.7837050218733594,1092.8397247491362,27.966484952615406,0.0004525756647571259,True,39079.83219052883,7.107051601353626,7.727266046886347,1569231.700880955,3.675138486286362e-05,1478068.9444749127,2956137.8889498254
6535,cone,10.003835024634688,55281.21196479667,216.65,0.0005697854045109605,1.4215474148823518e-05,2951.852910197286,5.592652055513389,0.02176799739781953,5.385559809871314,0.52736144937507,1.9506893299519954,1167.0440536063238,5.3867715375320735,688.1668307612237,0.8737086416674945,0.000908988432674984,False,,,,,,,
6536,cone,10.816570453850247,43808.62828772084,216.65,0.0029342299560399564,1.4215474148823518e-05,3191.6684845287905,10.062837586040926,0.045076490630644186,27.29150733881872,4.843096884815059,3.169501267959526,373.4175465516542,1.7235981839448613,1551.188092993005,73.6879011736449,0.000939986275324174,True,37634.25785790784,10.816570453850247,8.525361556678877,1520134.5146547179,4.717278827845368e-05,1466494.5491986773,2932989.0983973546
6537,cone,4.646741066065877,61512.99634660602,216.65,0.00023392601612043563,1.4215474148823518e-05,1371.1237845308915,13.328418292069788,0.02581153059036811,25.542942620620778,6.051474409165959,7.224956830712565,947.6181004665201,4.373958460496285,589.4227236330389,115.04619904782369,0.0009153610074474852,False,,,,,,,
