sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_time_s,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
0,cone,6.123055924602087,55331.860305034315,216.65,0.0005656776140539429,1.4215474148823518e-05,1806.7431545831025,5.908509621471147,0.006388714054271742,5.7562828407500515,0.5957180374654409,0.41512969329210486,950.6203729753361,4.38781616882223,1832.666967955001,1.1148883385820143,0.0009948520381410516,False,,,,,,,,
1,cone,9.346441637614712,53898.46053343023,216.65,0.0006942247292091098,1.4215474148823518e-05,2757.8744431553196,9.106895775971855,0.032955639731986584,0.5793001107515419,0.09286035540788823,0.4848759741835287,712.7513931341432,3.2898748817638737,223.9832533853929,0.02709009672888516,0.000752208809641575,True,40.0,18831.059215275738,8.214505302615779,7.559010181985937,2977776.0280318,4.178087063063002e-05,1520489.9045865845,3040979.80860218
2,cone,10.88170148795647,56534.81428290788,216.65,0.0004763599477350232,1.4215474148823518e-05,3210.8868375001434,6.204593317329183,0.01421998802550058,41.988197452184004,4.564783822353272,0.9650053834252632,772.4726144505983,3.5655324922713976,560.6983255285184,65.46215574588473,0.0002301362723913267,False,,,,,,,,
3,cone,7.547179031874381,72989.96141421566,216.65,4.539665648860349e-05,1.4215474148823518e-05,2226.962193414606,9.315708112271873,0.021865693350718852,41.97319927536672,6.88519138874829,9.76288884984357,407.99214694420107,1.8831855386300533,255.97093450075315,148.9299029572763,0.0008053955562706319,False,,,,,,,,
4,cone,6.932314327337887,35548.82555990996,216.65,0.009548813168308155,1.4215474148823518e-05,2045.532755304703,8.066245671248508,0.030321502301406712,46.90469367912855,6.647336423271149,9.13661597308985,1086.9826960210728,5.017229153109037,1535.6551441433012,138.81781069983435,0.0009760976067455686,True,54.0,28180.683738893043,0.4327356742424612,7.7212802159908716,1001206.0443717438,3.18784324506743e-05,834279.7656,1668559.531
5,cone,6.7103375242100824,29426.661607672933,216.65,0.022897133350409292,1.4215474148823518e-05,1980.033587166129,13.973716967683508,0.009711246223510373,4.787473392237644,1.191318788671586,3.040486232699966,798.9627004529823,3.6878038331547764,738.2004559399588,4.458675391007088,0.0008326886372176046,False,,,,,,,,
6,cone,6.781443986384964,44831.21556926377,216.65,0.002535424695056984,1.4215474148823518e-05,2001.0151224261454,13.474161450529447,0.014768345151588116,43.97095243234148,10.535521554547943,9.758777296734227,556.6919726324174,2.5695452233206435,1674.5212085324117,348.70803341073423,0.00042961743805145235,True,1.0,44450.592621016745,3.8695560901399633,7.798914344809543,1105376.944877138,2.6986073216925265e-05,905493.23503492,1810986.4703133071
7,cone,11.452950243705267,43624.24853643411,216.65,0.0030125443400908125,1.4215474148823518e-05,3379.44642469358,7.942449607786299,0.049473446326775215,27.628068813373144,3.8545768666920126,0.9764877759491738,655.665115129675,3.0263794836357025,617.1165774075539,46.67703852797839,0.00010971155650848684,False,,,,,,,,
8,cone,11.61695048538606,63245.60823095818,216.65,0.00018263486957554047,1.4215474148823518e-05,3427.8383253483175,14.524407176400533,0.035785696736878446,25.145136819987343,6.514403683983598,9.02462539547769,975.7829784740508,4.503960205280641,258.7410567041759,133.32119798942054,0.00044694296256565666,False,,,,,,,,
9,cone,6.386296205328201,56171.48686735911,216.65,0.0005017378026122409,1.4215474148823518e-05,1884.418024953219,8.262275884887305,0.006199039318981367,2.5663409948062204,0.3726631625317543,1.26883252285406,352.7215745573232,1.6280709649541805,396.6889974230575,0.43629757898245514,0.00010961715922536077,True,39.0,31348.193287091366,5.4080924329968045,8.397760782556514,1282645.6938621781,2.746851649354814e-05,1211193.2401792456,2422386.479542306
10,cone,9.532087869985453,29134.31778609263,216.65,0.02387364485133671,1.4215474148823518e-05,2812.653472391735,10.628618041598676,0.02641037408400339,9.88657336828922,1.8553334789459384,7.837544735724577,751.7828511163259,3.470033930839261,664.4057489786865,10.814186010264514,0.0007060788527973235,False,,,,,,,,
11,cone,4.751930273905428,35754.57526655636,216.65,0.009272231338611969,1.4215474148823518e-05,1402.1621881548922,8.3495428610702,0.0225164153846721,32.68496799050797,4.7970885303100905,9.275989407740326,359.77175953563784,1.6606127834555173,541.9805981122872,72.29451351173418,0.0003859513062198481,True,4.0,35120.30468866578,1.0634491680564344,10.5480421793608,1611706.0737830517,1.8333907953253864e-05,834279.7656,1668559.531
