sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
0,cone,6.123055924602087,55331.86030503432,216.65,0.0005656776140539,1.4215474148823518e-05,1806.7431545831023,5.908509621471147,0.0063887140542717,5.756282840750052,0.5957180374654409,0.4151296932921048,950.620372975336,4.38781616882223,1832.666967955001,1.1148883385820143,0.0006462275991267,False,,,,,,,
1,cone,7.389846053343023,55801.71831978891,216.65,0.0005289541504123,1.4215474148823518e-05,2180.537616299516,11.212364384885907,0.0050720910097741,41.78992824374048,8.284000821185131,4.709115671097924,292.2581072858675,1.3489873403455688,1731.6083571095526,215.5907578873386,0.0004205221440197,True,38631.95883677694,6.917947630921391,8.612971779140414,3056761.8931698008,1.584766137634943e-05,1516112.415942039,3032224.831884078
2,cone,5.403444987996887,40366.64670916763,216.65,0.0047977962937326,1.4215474148823518e-05,1594.406022653498,13.381454030744242,0.0093018260514651,26.997167842722405,6.422398678180729,2.011875706683277,653.7872945765907,3.0177119528114043,1351.759073941176,129.58191552266655,0.000431627654146,True,32872.83853296077,5.231902905745156,7.608844742775317,2457977.446061905,1.499899488909154e-05,1210250.4706729625,2420500.940539035
3,cone,7.310948891786475,87838.1807202526,216.65,5.442640178871064e-06,1.4215474148823518e-05,2157.2572627777417,14.762651501344916,0.0112604854483576,2.039200698770712,0.5373582552571544,0.6680871910218741,409.3989268682288,1.8896788685355588,751.9242208247314,0.9071471136346922,0.0005627437811372,True,26581.292459143566,7.20243650615958,7.520790136782588,3039248.3478199188,1.4575657118814608e-05,1505498.6224485715,3010997.2448971434
4,cone,11.531014193807357,93518.13793610998,216.65,2.417760771366244e-06,1.4215474148823518e-05,3402.480920736637,13.771551043707312,0.0383913786035825,15.088227659786543,3.698081427053333,0.5996313261420346,1105.5819610268827,5.103078518471649,388.4498489404149,42.963812419010026,8.67069625232004e-05,False,,,,,,,
5,cone,9.257461712330802,67306.74188475398,216.65,0.0001022404059231,1.4215474148823518e-05,2731.618947062906,7.990002532999771,0.0186886639183097,13.588602275714088,1.907335675287796,8.475687289078918,479.7083897658014,2.214209045768758,1780.7619066305992,11.42889220891188,0.0009758559978983,True,44138.842600981094,8.408058851478387,7.709546908896939,2953910.335080739,1.6635910673284025e-05,1472694.17207138,2945388.34414276
6,cone,6.755641081242533,86438.38368885049,216.65,6.647462976746349e-06,1.4215474148823518e-05,1993.401404242202,14.270600324940354,0.0161745491218604,15.06512555854218,3.831820942957045,9.883105084544097,784.1984506727938,3.619655899712872,374.1419416124637,46.12753915662677,0.0004083908137153,False,,,,,,,
7,cone,6.237985739198141,96169.50485386058,216.65,1.6554536966171476e-06,1.4215474148823518e-05,1840.655739791512,10.099414430794424,0.0478598322938024,34.36426641056629,6.120845806632314,4.983836703670173,1110.1757120960435,5.124282077526164,1561.3145231014037,117.69899401407974,3.273065699916971e-05,False,,,,,,,
8,cone,6.386296205328201,56171.48686735911,216.65,0.0005017378026122,1.4215474148823518e-05,1884.418024953219,8.262275884887305,0.0061990393189813,2.5663409948062204,0.3726631625317543,1.26883252285406,352.7215745573232,1.6280709649541805,396.6889974230575,0.4362975789824551,0.0006709779548264,True,30284.627261227422,6.239961367314002,9.240577069638192,2788833.7596430383,1.4775852254186885e-05,1374098.9308563385,2748197.861712677
9,cone,4.913431778609263,67214.63531199007,216.65,0.0001035945831997,1.4215474148823518e-05,1449.8167811672015,9.757860907556308,0.0135332485166265,39.73055598031581,6.832570182469765,5.1329463941870594,517.3629383668842,2.388012639588665,260.4632657373026,146.66215950144814,0.0001434799974537,True,38551.038975376185,4.601780665430866,7.940715738116562,2243972.0672843945,1.5835912995952508e-05,1110847.570478384,2221695.141129904
10,cone,7.01215714580265,54194.02564112016,216.65,0.0006655222951195,1.4215474148823518e-05,2069.092145824757,11.502013735456156,0.0467386910258573,4.792067496754428,0.975132547498386,0.9185412793074488,934.3844534268412,4.312875390846256,1747.024373069607,2.9872885714949367,0.0004361932730953,False,,,,,,,
11,cone,4.922608146256533,40863.43325671243,216.65,0.0044691006889415,1.4215474148823518e-05,1452.5244715157464,8.35747056570202,0.0387453951219533,9.924067448528357,1.4579325533243903,7.457808002628649,956.8612323367684,4.416622350965928,355.59620964031825,6.6776667087734864,0.0001367989112076,True,40863.43325671243,4.551109196652034,7.555865159470217,2273308.3850669917,1.616972453477598e-05,1112709.0663317924,2225418.1328183683
12,cone,6.475223212463833,81298.4683297477,216.65,1.3853098102755062e-05,1.4215474148823518e-05,1910.6579063748973,6.3448950488779285,0.0193155503511236,0.8045236165991143,0.0894583707298868,0.4423382194693608,1012.0914059364746,4.671550454357141,1684.2667904827647,0.0251415379823455,0.0003038228441242,False,,,,,,,
13,cone,6.466109283541731,85416.8425763925,216.65,7.691914554119422e-06,1.4215474148823518e-05,1907.968639953991,13.183774416069848,0.0462393207836475,24.556080379701243,5.752240549287959,0.6604019974069512,1177.3925562899594,5.434537531917653,441.11697095821967,103.9498701519048,0.000430389654493,False,,,,,,,
14,cone,6.092020052200421,47503.79124941597,216.65,0.0017307669428549,1.4215474148823518e-05,1797.5853336030711,7.740840416331408,0.0303040706052837,3.5689519382208124,0.4851319367606906,2.940908866873556,605.2754365672802,2.793793845221695,311.2518736258147,0.7393832434387129,0.000226726124903,True,35328.44979473372,5.812778269965867,8.320737356977505,2685444.7815259728,1.5364002537743714e-05,1329525.214746846,2659050.429493692
15,cone,5.376112177388485,52224.40343179257,216.65,0.0008817836577426,1.4215474148823518e-05,1586.3408720048117,8.853237785544957,0.0106413751998558,47.70215782519434,7.430076612199058,8.734868972564497,358.6799247765064,1.6555731584422173,498.64831295013545,173.43488486961954,2.3312468309382277e-05,True,42039.14693075463,4.93842195315907,8.830668375900364,2427165.6366652315,1.633794665273907e-05,1204705.8025030172,2409411.60425381
16,cone,8.244203310322979,54049.397124253286,216.65,0.0006794158298982,1.4215474148823518e-05,2432.634632009403,12.973328827993312,0.0277724065502038,42.02372842144082,9.681339682980653,1.416358307469519,562.4883936605697,2.5962999938175386,1350.5286310459237,294.45625827385584,0.0006649156200285,True,31970.06853929954,8.02554890286563,7.819333593416642,3079181.7093735468,1.4866489524671524e-05,1518629.1421767531,3037258.283841913
