sample_index,init_Mach,init_altitude_m,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,x_sensor_m,T_wall_K,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition
0,8.410040337007544,48756.875478231465,2481.5685167277966,12.973654573327341,0.03543146018379386,3.917184410513071,586.1888136370737,1276.9557564569416,0.003943918882968385,0.00018681551218515297,True,48266.85662920401,8.410040337007544,7.861391639738517,369265.4601169977
1,15.09134066021932,95635.21489524528,4453.034035142316,7.48245714629571,0.04769965183249932,6.67570215647272,368.22610074658314,995.311399102063,0.007147930000603038,0.0008864912713355849,True,95635.21489524528,15.09134066021932,8.14093696537682,829.3159105573455
2,15.461802498230332,49485.46480525841,4562.346998816442,12.339281633300665,0.014906072999546882,0.8251297497266591,427.1039529890437,812.1803329184695,0.0006980336518342648,0.0004652466343866807,True,49485.46480525841,15.461802498230332,7.539496670612617,74367.72359139899
3,8.996315424361566,86183.23025686052,2654.56195559604,6.932943892894945,0.010826108427974013,0.9257308679339099,830.6825725717201,1738.5354278732025,0.00036820918476461185,0.0006016610795695436,True,66261.47853919427,8.996315424361566,7.510194416212516,6374.971207319538
4,18.979825417039752,79358.60208190151,5600.417515318943,13.605513173932923,0.04682020107088924,5.466398230732707,1142.6591220663363,1090.9782921418837,0.0068867833625901615,0.0002738458051717385,False,,,,
5,11.77668061212141,74877.91925496477,3474.9702340901995,8.308909304670546,0.04565543030637076,2.5781710110125777,592.6420706014942,665.9361175572692,0.006548393269998356,0.0003555109352962916,True,74877.91925496477,11.77668061212141,7.646244542215538,5846.537310413577
6,5.075335005756977,72145.3408074759,1497.5899112767486,7.823827074251183,0.00806394602695756,6.172121482791241,442.22021465870716,747.8990969952613,0.00020428905399481748,0.0004409427221950304,True,72145.3408074759,5.075335005756977,7.9102587603446235,16877.113086528254
7,7.253035115940512,41344.664731407625,2140.1685215749485,9.743331153335445,0.026436598478653636,2.5597712146568075,553.7600466962042,702.32081566478,0.0021956394364641683,0.00026065315457004845,True,40929.14046275026,7.253035115940512,7.5174513058492005,663841.3679571511
8,12.241423891989736,40898.4277263633,3612.1030236449783,9.956305966730406,0.01608175966238319,8.386441698144779,445.7201428874323,1751.8813247166256,0.0008124880974929173,0.00017838161490070292,True,40898.4277263633,12.241423891989736,8.167532887116783,2520180.386523758
9,16.25796997905866,70834.0302872924,4797.273833325427,7.091550349286074,0.039194258950579784,2.5001130896537758,358.72599342763334,1312.5021001725638,0.004826083013325305,0.0005370146341992322,True,70834.0302872924,16.25796997905866,7.919326093601726,10787.223632590309
10,14.517900668229135,38078.058151854115,4283.827875203513,7.481644898564524,0.03581703430877296,0.8179077460465658,1085.0677126956361,971.6498867719853,0.004030223384061348,0.0006184323559778381,True,2487.5113365532816,12.957277007144143,7.533810725314925,49346899.44216404
11,9.696582562776797,38422.21414696507,2861.191271788908,5.0971212779545265,0.014451933130180387,8.701306780928805,1175.0034182057539,995.2262177439843,0.000656147924600154,0.0003788116198597724,False,,,,
12,9.139206219022252,97457.80819258314,2696.725046752669,5.58202605265844,0.02339302544878347,1.6946021568395755,500.9325337295528,1604.0141414015814,0.0017191851821135736,0.0002038472193959968,True,97457.80819258314,9.139206219022252,7.504792150339114,148.5429733306141
13,13.280764321424325,52524.56065387506,3918.7834180894297,10.072817213923567,0.020004700851332862,2.834389524337705,539.2838772007905,353.686325818318,0.0012572278572593595,0.0004818654744151072,True,52524.56065387506,13.280764321424325,7.738666386090417,160770.10445705242
14,18.250143417718313,96042.0824507516,5385.108693460975,5.273837219271188,0.04629885100261505,1.2240300495592418,968.019939002944,1813.737335689451,0.0067342665031919656,0.00016801300695716258,True,13030.835307388406,18.250143417718313,7.630783740005938,21535887.654240727
15,9.971948289002171,53361.746921185186,2942.4440231912777,8.46848957674191,0.028231506550191323,0.0998503334395904,668.8639481237929,1779.7839131209103,0.002503905774492034,8.749641233718805e-05,True,47462.45831683306,9.971948289002171,7.596162239635499,10814.651401299901
16,12.261272261870554,61092.07955053977,3617.9597244253373,12.825714903198651,0.04840518088122759,7.073893451939076,531.8377832422566,1406.2039408457447,0.007360944908859941,0.0003476000492679636,True,60171.093426662286,12.261272261870554,7.845006447439379,133391.7550854202
17,16.521917540823644,75682.85621893646,4875.157402618283,14.775320280272595,0.04400194053175795,0.47061906631300104,547.0978160406214,1752.303975840344,0.006082659868887726,0.0006008877492573612,True,74541.90863774647,16.521917540823644,7.853235627765589,1172.5967640848125
18,10.163869377276363,29170.193259170905,2999.0745875253883,12.62872669982098,0.005068345448257465,0.9375069569989689,1194.023827021189,1596.8235390116395,8.070162661564322e-05,0.000868284035839955,False,,,,
19,12.157373773800924,37663.64803167437,3587.302176233249,10.339773211451657,0.02416243445719487,1.6386656700857707,432.6073655046574,664.6703029864791,0.001834134798317703,0.0009430972607087819,True,37663.64803167437,12.157373773800924,8.373454783356312,783009.1150838573
20,19.802104127714323,77774.98111453868,5843.0490460389965,12.231574133709524,0.03796240132589756,5.178781229960407,443.23220359493814,1779.7631724696248,0.004527487134334241,0.0008804023167140141,True,77774.98111453868,19.802104127714323,8.731795342401469,8291.293289462623
21,15.64301829184373,95007.16053678148,4615.818729051312,14.799981603994237,0.027656410195945117,7.578119374515358,847.289041563927,406.80032277894384,0.002402932042408323,0.0003160568812756182,True,84026.43343956553,15.64301829184373,7.596363740607587,4689.277754573127
22,6.016008462948463,91515.338358342,1775.1564320478594,5.220703988749191,0.029177901653198245,1.7843449438423973,415.2353166154841,498.52006411672954,0.002674594732480735,0.0008769662835110099,True,91515.338358342,6.016008462948463,7.85024644819559,334.84024743963664
23,12.417051883685874,50567.53715006046,3663.925949265373,14.992098258817393,0.029568870308821948,3.040277944797723,620.9995647724807,1452.5603804959082,0.002746751292654181,0.00012033454398187397,True,50313.428923175736,12.417051883685874,8.323982222913344,231248.56848235204
24,16.373317822531476,91282.5705136688,4831.309767204959,9.751311447770377,0.02467871172348045,1.4397165849559548,668.9228777370035,1575.941049882496,0.0019133518585690275,0.0004140418931067598,True,91282.5705136688,16.373317822531476,8.113858334481105,323.80017859023854
25,14.298964529600767,28283.46109015897,4219.225922415801,7.197253737571265,0.014172292144062192,9.811923294478525,320.9858913471788,587.5732938793235,0.0006310010255247769,3.1496094028740406e-05,True,28283.46109015897,14.298964529600765,8.165397030954743,18461075.96619485
26,14.593028775369866,73987.78163487709,4305.996085810232,8.455215015032778,0.006635953612989674,4.355754338400815,437.62234306529956,968.1036239272803,0.00013834279821370231,0.00037287297159461477,True,73244.18583955169,14.593028775369866,7.781249659974334,13109.68846018271
27,8.316295047090714,88123.07087414426,2453.9068943422967,11.926150495556314,0.02617903369052462,4.00285627789118,380.316695665593,1285.4693931367153,0.002153064779690537,0.0005042015338356926,True,88123.07087414426,8.316295047090714,8.246289288607626,1356.685521832142
28,18.580715988890724,97668.24390685579,5482.651446199674,13.095952910610263,0.04400133180188839,4.962939366060917,623.879629548876,1062.1823487729546,0.006082491573076587,0.0005312894509727092,True,97177.44871134395,18.580715988890724,7.6925299905066975,488.2063397547025
29,17.265451917612296,36325.47709438045,5094.55367500288,11.005588949831601,0.04576954023342943,2.232415543539633,544.8341938614226,1715.9862803157196,0.00658116792505137,0.0006519027069039365,True,35960.39692257763,17.265451917612296,7.7952519935435705,1381806.503760718
30,19.48197413589816,73156.2801513538,5748.587607435006,14.493328925572762,0.042208177335758254,6.749933169487022,454.7887287127819,584.3597359001178,0.0055968422953039205,0.0008630434089428954,True,72788.66065310579,19.48197413589816,8.128093459744777,21998.040336797225
31,10.008858983792294,76482.68368950416,2953.3353405276116,9.353757188649643,0.025670694183044997,0.11564464990227519,1036.5366492557027,760.6090355835557,0.002070260989188773,0.0003371997374564078,False,,,,
32,6.074028518663994,71847.03073754373,1792.276533478156,12.786121504387276,0.027996856802791,4.7823217319898115,990.3385555801929,374.1014120446219,0.002462455691317763,0.0005409642460562336,True,2527.2824882553105,5.423669804239792,7.772945958404703,205859754.8384848
33,16.233254858148374,52473.078140541256,4789.981089951985,13.761304763245265,0.025556682991277033,1.1678049796658685,1178.7390887793345,1020.6213192029583,0.0020519125351309586,0.000752813849682568,False,,,,
34,6.173798087085235,85663.03328158337,1821.7157525544542,6.520003238778366,0.010623032826874521,2.7715986616451325,670.7308002162052,1073.5142209182818,0.0003545250441128155,0.0004283496983167881,True,85663.03328158337,6.173798087085235,7.559212621699663,1075.5161387236844
35,5.518092900111012,69777.34452936685,1628.2354262960755,12.41959274526392,0.0490439245904803,5.5460578817764885,1137.3189941005637,1913.5389958558258,0.007556493353297563,0.00021247410852795888,False,,,,
