Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
90,11.096462,10.691144,NaN,NaN,NaN,NaN,NaN,0
91,9.661578,13.498100,NaN,NaN,NaN,NaN,NaN,0
92,11.708557,5.356755,9.110493,9.239505,3.843190,2.444242,1.572344,1
93,7.132178,14.657276,NaN,NaN,NaN,NaN,NaN,0
94,6.326851,13.057764,NaN,NaN,NaN,NaN,NaN,0
95,10.035233,9.670117,NaN,NaN,NaN,NaN,NaN,0
96,10.946092,7.039135,NaN,NaN,NaN,NaN,NaN,0
97,10.259528,5.786119,10.105882,8.184263,3.614244,2.359568,1.531740,1
98,4.975343,11.681118,21.027238,3.816789,3.551477,2.335645,1.520555,1
99,5.227131,13.808890,NaN,NaN,NaN,NaN,NaN,0
100,11.059269,8.553255,NaN,NaN,NaN,NaN,NaN,0
101,7.362840,14.451335,NaN,NaN,NaN,NaN,NaN,0
102,8.044538,11.612960,NaN,NaN,NaN,NaN,NaN,0
103,6.177914,10.894660,NaN,NaN,NaN,NaN,NaN,0
104,6.602082,6.858623,NaN,NaN,NaN,NaN,NaN,0
105,6.796379,5.535718,12.508370,5.858981,2.361162,1.813979,1.301648,1
106,11.535050,6.999434,NaN,NaN,NaN,NaN,NaN,0
107,4.889228,7.942111,NaN,NaN,NaN,NaN,NaN,0
108,9.317778,11.250864,NaN,NaN,NaN,NaN,NaN,0
109,11.624435,13.052385,NaN,NaN,NaN,NaN,NaN,0
110,7.770146,6.247241,12.128609,6.430116,2.942795,2.086235,1.410577,1
111,11.752078,12.404256,NaN,NaN,NaN,NaN,NaN,0
112,9.691146,10.815686,NaN,NaN,NaN,NaN,NaN,0
113,7.479123,5.740789,11.951006,6.327782,2.631698,1.945178,1.352934,1
114,10.588098,12.166703,NaN,NaN,NaN,NaN,NaN,0
115,6.748781,7.349537,NaN,NaN,NaN,NaN,NaN,0
116,6.658288,5.579796,12.713847,5.746948,2.338524,1.802615,1.297296,1
117,6.229942,10.612203,NaN,NaN,NaN,NaN,NaN,0
118,4.514616,9.816542,NaN,NaN,NaN,NaN,NaN,0
119,8.434174,12.065367,NaN,NaN,NaN,NaN,NaN,0
120,4.784227,6.250906,16.602359,4.196438,2.013429,1.632331,1.233468,1
