,Altitude,,Temperature,,,Pressure,,Density,
H (m),Z (m),T (K),t (°C),TM (K),P (mb),P (torr),P/Po,P (kg/m3),p/po
-1650,-1650,298.875,25.725,"2,98,875",1.2278,9.2093,1.2117,1.4311,1.1683
-1600,-1600,298.55,25.4,"2,98,550",1.2208,9.1568,1.2048,1.4245,1.1629
-1550,-1550,298.225,25.075,"2,98,225",1.2138,9.1045,1.1979,1.4179,1.1575
-1500,-1500,297.9,24.75,"2,97,900",1.2069,9.0525,1.1911,1.4114,1.1521
-1450,-1450,297.575,"24,425",297.575,1.2,9.0007,1.1843,1.4048,1.1468
-1400,-1400,297.25,24.1,297.25,1.1931,8.9492,1.1775,1.3983,1.1415
-1350,-1350,296.925,23.775,"2,96,925",1.1862,8.8979,1.1707,1.3918,1.1362
-1300,-1300,296.6,23.45,"2,96,600",1.1794,8.8468,1.164,1.3853,1.1309
-1250,-1250,296.275,23.125,"2,96,275",1.1727,8.796,1.1573,1.3789,1.1256
-1200,-1200,295.95,22.8,"2,95,950",1.1659,8.7454,1.1507,1.3725,1.1204
-1150,-1150,295.625,22.475,"2,95,625",1.1592,0.695,1.144,1.3661,1.1152
-1100,-1100,295.3,22.15,"2,95,300","11,525",8.6449,1.1374,1.3597,1.1099
-1050,-1050,294.975,21.825,"2,94,975",1.1459,8.595,1.1309,1.3533,1.1048
